86	566
344	566
86	566
86	729
86	729
286	729
286	684
286	729
286	684
394	684
394	684
394	740
394	740
756	740
756	524
756	740
735	524
756	524
735	509
735	524
698	509
735	509
430	509
698	509
430	370
430	509
193	370
430	370
193	370
193	459
193	459
365	459
365	459
365	500
344	500
365	500
344	500
344	566
86	566
286	566
286	459
286	566
86	459
286	459
86	459
86	566
286	566
344	566
286	459
365	459
611	340
611	415
430	340
611	340
430	340
430	509
430	509
611	509
611	487
611	509
611	487
616	461
616	461
619	445
619	445
620	442
620	442
621	434
621	434
625	415
611	415
625	415
756	509
756	524
756	509
811	509
811	340
811	509
611	340
811	340
611	415
635	415
635	415
635	465
616	461
635	465
616	461
611	487
611	509
735	509
86	459
137	459
137	459
139	430
138	430
139	430
138	370
138	430
86	370
138	370
86	370
86	459
138	370
193	370
138	370
138	423
138	423
138	430
139	430
137	459
137	459
193	459
86	370
337	370
337	271
337	370
264	271
337	271
264	203
264	271
61	203
264	203
61	203
61	344
61	344
86	344
86	344
86	370
337	370
430	370
430	340
430	370
430	340
647	340
647	148
647	340
453	148
647	148
453	148
453	271
337	271
453	271
264	271
367	271
367	148
367	271
264	148
367	148
264	148
264	271
367	271
453	271
367	148
453	148
620	442
619	445
619	445
616	461
635	442
635	465
635	437
635	442
621	434
635	437
621	434
620	442
